65,"1/2"" Impact Socket 10mm""",5,120.00,50,300,"Sale Price:90",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
66,"1/2"" Impact Socket 12mm""",4,120.00,50,240,"Sale Price:90",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
67,"1/2"" Impact Socket 13mm""",3,120.00,50,180,"Sale Price:90",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
68,"1/2"" Impact Socket 14mm""",3,120.00,50,180,"Sale Price:90",0,90,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
69,"1/2"" Impact Socket 15mm""",5,120.00,50,300,"Sale Price:90",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
70,"1/2"" Impact Socket 16mm""",5,120.00,50,300,"Sale Price:90",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
71,"1/2"" Impact Socket 17mm""",1,120.00,50,60,"Sale Price:90",0,90,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
72,"1/2"" Impact Socket 18mm""",3,120.00,50,180,"Sale Price:90",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
73,"1/2"" Impact Socket 19mm""",6,120.00,50,360,"Sale Price:90",0,90,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
74,"1/2"" Impact Socket 21mm""",5,120.00,50,300,"Sale Price:110",0,110,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
75,"1/2"" Impact Socket 22mm""",4,150.00,50,300,"Sale Price:120",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
76,"1/2"" Impact Socket 23mm""",4,150.00,50,300,"Sale Price:120",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
77,"1/2"" Impact Socket 27mm""",2,200.00,50,200,"Sale Price:150",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
78,"1/2"" Impact Socket 32mm""",2,250.00,50,250,"Sale Price:180",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
79,"1/2"" Impact Socket 8mm""",5,120.00,50,300,"Sale Price:90",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
80,"1/2"" Impact Socket Long 10mm""",9,240.00,50,1080,"Sale Price:170",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
81,"1/2"" Impact Socket Long 11mm""",4,240.00,50,480,"Sale Price:170",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
82,"1/2"" Impact Socket Long 12mm""",4,240.00,50,480,"Sale Price:170",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
83,"1/2"" Impact Socket Long 13mm""",3,240.00,50,360,"Sale Price:170",0,180,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
84,"1/2"" Impact Socket Long 14mm""",3,240.00,50,360,"Sale Price:170",0,170,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
85,"1/2"" Impact Socket Long 15mm""",4,240.00,50,480,"Sale Price:170",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
86,"1/2"" Impact Socket Long 16mm""",3,240.00,50,360,"Sale Price:170",0,180,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
87,"1/2"" Impact Socket Long 17mm""",3,240.00,50,360,"Sale Price:170",0,180,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
88,"1/2"" Impact Socket Long 18mm""",3,240.00,50,360,"Sale Price:190",0,190,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
89,"1/2"" Impact Socket Long 19mm""",2,240.00,50,240,"Sale Price:170",0,170,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
90,"1/2"" Impact Socket Long 22mm""",2,280.00,50,280,"Sale Price:200",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
91,"1/2"" Impact Socket Long 24mm""",6,300.00,50,900,"NR:90(6pcs.), Sale Price:200",0,200,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
92,"1/2"" Impact Socket Long 30mm""",1,520.00,50,260,"Sale Price:350",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
93,"1/2"" Impact Socket Long 32mm""",1,520.00,50,260,"Sale Price:350",0,0,"2021-06-09 20:37:00","2021-06-09 20:36:47",5
